songtitle,artist,lyrics,target
No Role Modelz,J. Cole,"""Sorry I'm never comin' home I'ma stay for good""
Then hang the phone up, and proceed to lay the wood
I came fast like 9-1-1 in white neighborhoods
Ain't got no shame 'bout it
She think I'm spoiled and I'm rich 'cause I can have anyone
I got defensive and said ""Nah, I was the same without it""
But then I thought back, back to a better me",Hip-Hop
Bank Account,21 Savage,"Yeah, Moncler, yuh, fur came off a bear, yuh (yeah)
Triple homicide, put me in a chair, yuh (in jail)
Triple cross the plug, we do not play fair, yuh (on God)
Got 'em tennis chains on and they real blingy (bling)
Draco make you do the chicken head like Chingy (Chingy)
Walk in Neiman Marcus and I spend a light 50 (50)",Hip-Hop
Every Chance I Get,"DJ Khaled ft. Lil Baby, Lil Durk","I try not to wear nothing twice
I came up off of shooting dice, yeah
My lil' brother ain't living right
My sis' and 'em doing aight
My cuz and 'em still serving life, yeah
Seen a robber rob a deacon
I seen a preacher get caught for cheating
I'll break the bank for one of my people
I said, ""I'm the one, "" they didn't believe me",Hip-Hop
Yes Indeed,Lil Baby & Drake,"The dash, it's digi', the schedule busy
My head in a hoodie, my shorty a goodie
My cousins are crazy, my cousins like Boogie
Life is amazin', it is what it should be
Been here for ten but I feel like a rookie
I tell her, look up, 'cause it's snowin' in Tootsie's
Booked for three years, man you can't even book me",Hip-Hop
Way 2 Sexy,"Drake ft. Future, Young Thug","Okay, alright, that's fine, okay (okay)
I'm feelin' too sexy to accept requests (way too sexy)
And I'm way too sexy to go unprotected (way too sexy)
And she popped a Tesla, now she goin' electric
Okay, alright, that's fine, okay
Think we got too sexy for that metro housin' (way too sexy)",Hip-Hop
First Class,Jack Harlow,"I can see the whole city from this balcony
Back in 2019, I was outside freely
But now they got it out for me
I don't care what frat that you was in
You can't alpha me, keep dreamin'
I know what they like, so I just keep cheesin'
Hard drive full of heat seekin'
Tryna come the same day as Jack? Rethink it
You don't need Givenchy, you need Jesus",Hip-Hop
Super Gremlin,Kodak Black,"Man, we could be superstars
We been ridin', wreckin' cars (ayy bro, is that Jambo?)
What is at stakes for us?
Kickin' off power mirrors
Yeah, we could be superstars
But I'm pretty sure time is up
And so we fell in love with spinnin' drops
Still only a child, but faithful error (ATL Jacob, ATL Jacob)",Hip-Hop
Too Many Nights,"Metro Boomin ft. Don Toliver, Future","You spend what you want and you get what you want
I guess you got what you wanted
You're hittin' the pole and you give it your all
Now, you keepin' it honest (yeah)
It's too many nights I went nameless
It's too many nights I went famous
It's too many nights I went brainless",Hip-Hop
Jimmy Cooks,Drake & 21 Savage,"Gotta throw a party for my day ones
They ain't in the studio, but they'll lay somethin'
Rest in peace to Drama King, we was straight stuntin'
You don't like the way I talk? say somethin'
Gotta throw a party for my day ones
Pull up, and you know it's us, the bass jumpin'",Hip-Hop
8am in Charlotte,Drake,"Diamonds do the silly dance, I raise up the wine glass
Metal detectors beepin', and security bypass
The numbers goin' up, someone pull up the line graph
The days are goin' by, it's like I'm livin' in time lapse
Been talkin' to Adel like he majored in finance
Shania Twain, notepad, I'm makin' it line-dance",Hip-Hop
Middle Child,J. Cole,"I've been wantin' somethin' I can feel
Promise I am never lettin' up
Money in your palm don't make you real
Foot is on they neck, I got 'em stuck
I'ma give 'em somethin' they can feel
Pistol in your hand don't make you real
Money in your palm don't make you real",Hip-Hop
Loyalty,Kendrick Lamar ft. Rihanna,"My resume is real enough for two millenniums
A better way to make a wave, stop defendin' them
I meditate and moderate all of my wins again
I'm hangin' on the fence again
I'm always on your mind
I put my lyric and my lifeline on the line
And ain't no limit when I might shine, might grind",Hip-Hop
Yebba's Heartbreak,Drake,"And all the times you wasn't chosen, well, I'll make it up to you
All of the feelings you're not showing
When your river's overflowing, mmm
It's the truth, swear to you
I do, I do, I do, I do, I do
And all that you are, I do
My single line of stars in noon
Reflection of the very moon, I do
I do, I do, I do",Hip-Hop
Chicago Freestyle,Drake,"Two thirty baby, won't you meet me by The Bean?
Too early, maybe later you can show me things
You know what it is, whenever I visit
Windy city, she blowing me kisses, no
Thirty degrees, way too cold, so hold me tight
Will I see you at the show tonight?
Will I see you at the show tonight?",Hip-Hop
Too Fast,Future,"Bought the Patek, I was movin' too fast
New G-Wagon, I was movin' too fast
Got the condo, I was movin' too fast (goin' too fast)
Only sorry 'cause I was movin' too fast
So we said I knew it wasn't gon' last (yeah)
Bought the Patek, I was movin' too fast (yeah)
Richard Millie, I was movin' too fast (what's up)
And I knew it wouldn't last, yeah, yeah-yeah",Hip-Hop
Wait For U,Future,"I can hear your tears when they drop over the phone
Get mad at yourself 'cause you can't leave me alone
Gossip, bein' messy, that ain't what we doing (world was ending)
Travel around the world (would you cry, or would you try to get me?)
Over the phone, dropping tears (tell me now, I want you be clear, yeah)
I get more vulnerable when I do drugs (tell me now, I need you to be clear, yeah)
When you drunk, you tell me exactly how you feel (I will wait for you, for you)
When I'm loaded, I keep it real (I will wait for you, I will wait for you)",Hip-Hop
Pop Out,Polo G ft. Lil Tjay,"We pop out at your party, I'm with the gang
And it's gon' be a robbery, so tuck ya chain
I'm a killer, girl, I'm sorry, but I can't change
We ain't aimin' for your body, shots hits your brain
We come from poverty, man, we ain't have a thing
It's a lot of animosity, but they won't say my name",Hip-Hop
It's Up,"21 Savage, Drake, and Young Thug ‧","I just picked up somethin' from Mercedes, it's a one of one
Black exterior, the one that I want
Red inside like that time of the month
Blood money, that's how I got this
Blood money, that's how I got this
We can vacation wherever we want
'Cause I don't care where none of my opps is",Hip-Hop
All My Life,Lil Durk,"All my life (all my life)
They been tryin' to keep me down (they been tryin' to keep me down)
All this time (all this time)
Never thought I would make it out (never thought I'd make it out)
They couldn't break me, they couldn't break me (no, no)
They couldn't take me, they couldn't take me (no)
All my life (all my life)
They been tryin' to keep me down (they been tryin' to keep me down",Hip-Hop
Search & Rescue,Drake,"I need someone to be patient with me
Someone to get money with, not take it from me, look
They don't even need to be as famous as me
I don't think I'll meet 'em at the places I be
But deep down I think about you all day, mami
I know I'm a pitbull, but dale, mami
I just wanna take you on a holiday, mami
Say what's on your mind, I'm a call away, mam",Hip-Hop
Levitating,Dua Lipa,"If you wanna run away with me, I know a galaxy
And I can take you for a ride
I had a premonition that we fell into a rhythm
Where the music don't stop for life
Glitter in the sky, glitter in my eyes
Shining just the way I like
If you're feeling like you need a little bit of company
You met me at the perfect time",Pop
Watermelon Sugar,Harry Styles,"Tastes like strawberries on a summer evenin'
And it sounds just like a song
I want more berries and that summer feelin'
It's so wonderful and warm
Breathe me in, breathe me out
I don't know if I could ever go without
I'm just thinking out loud
I don't know if I could ever go without",Pop
Good 4 U,Olivia Rodrigo,"Well, good for you, I guess you moved on really easily
You found a new girl, and it only took a couple weeks
Remember when you said that you wanted to give me the world? (World)
And good for you, I guess that you've been working on yourself
I guess that therapist I found for you, she really helped
Now you can be a better man for your brand-new girl",Pop
Save Your Tears,The Weeknd,"I saw you dancing in a crowded room, uh
You look so happy when I'm not with you
But then you saw me, caught you by surprise
A single teardrop falling from your eye
I don't know why I run away
I'll make you cry when I run away
You could've asked me why I broke your heart
You could've told me that you fell apart
But you walked past me like I wasn't there
And just pretended like you didn't care",Pop
Dance Monkey,Tones and I,"They say, oh my God I see the way you shine
Take your hand, my dear, and place them both in mine
You know you stopped me dead while I was passing by
And now I beg to see you dance just one more time
Ooh, I see you, see you, see you every time
And oh my I, I, I like your style
You, you make me, make me, make me wanna cry
And now I beg to see you dance just one more time",Pop
As It Was,Harry Styles,"Holdin' me back
Gravity's holdin' me back
I want you to hold out the palm of your hand
Why don't we leave it at that?
Nothin' to say
When everything gets in the way
Seems you cannot be replaced
And I'm the one who will stay, oh
In this world, it's just us
You know it's not the same as it was
In this world, it's just us
You know it's not the same as it was
As it was, as it was
You know it's not the same",Pop
Don’t Start Now,Dua Lipa,"Did a full 180, crazy
Thinking 'bout the way I was
Did the heartbreak change me? Maybe
But look at where I ended up
I'm all good already
So moved on, it's scary
I'm not where you left me at all, so
If you don't wanna see me dancing with somebody
If you wanna believe that anything could stop me",Pop
Shivers,Ed Sheeran,"I took an arrow to the heart
I never kissed a mouth that tastes like yours
Strawberries and somethin' more
Ooh yeah, I want it all
Lipstick on my guitar (ooh)
Fill up the engine, we can drive real far
Go dancin' underneath the stars
Ooh yeah, I want it all
Mm, you got me feelin' like
I wanna be that guy, I wanna kiss your eyes
I wanna drink that smile, I wanna feel like I'm
Like my soul's on fire, I wanna stay up all day and all night
Yeah, you got me singin' like",Pop
Stay,The Kid LAROI & Justin Bieber,"I do the same thing I told you that I never would
I told you I'd change, even when I knew I never could
I know that I can't find nobody else as good as you
I need you to stay, need you to stay, hey
I do the same thing I told you that I never would
I told you I'd change, even when I knew I never could
I know that I can't find nobody else as good as you
I need you to stay, need you to stay, hey",Pop
Peaches,"Justin Bieber ft. Daniel Caesar, Giveon","I got my peaches out in Georgia (oh yeah, shit)
I get my weed from California (that's that shit)
I took my chick up to the North, yeah (badass bitch)
I get my light right from the source, yeah (yeah, that's it)
And I see you (oh), the way I breathe you in (in), it's the texture of your skin
I wanna wrap my arms around you, baby, never let you go, oh
And I say, ""Oh, there's nothing like your touch
It's the way you lift me up, yeah
And I'll be right here with you 'til the end""",Pop
Golden,Harry Styles,"Golden, golden, golden
As I open my eyes
Hold it, focus, hoping
Take me back to the light
I know you were way too bright for me
I'm hopeless, broken
So you wait for me in the sky
Browns my skin just right
You're so golden
You're so golden
I'm out of my head
And I know that you're scared
Because hearts get broken",Pop
Unstoppable,Sia," put my armor on, show you how strong I am
I put my armor on, I'll show you that I am
I'm unstoppable
I'm a Porsche with no brakes
I'm invincible
Yeah, I win every single game
I'm so powerful
I don't need batteries to play
I'm so confident
Yeah, I'm unstoppable today",Pop
Happier Than Ever,Billie Eilish,"When I'm away from you, I'm happier than ever
Wish I could explain it better
I wish it wasn't true
Give me a day or two to think of something clever
To write myself a letter
To tell me what to do, mm-mm
Do you read my interviews?
Or do you skip my avenue? (My avenue)
When you (when you) said you were passing through
Was I even on your way?",Pop
Adore You,Harry Styles,"I'd walk through fire for you
Just let me adore you
Like it's the only thing I'll ever do
Like it's the only thing I'll ever do
You're wonder under summer skies (summer skies)
Brown skin and lemon over ice
Would you believe it?
You don't have to say you love me
I just wanna tell you somethin'
Lately you've been on my mind",Pop
Someone You Loved,Lewis Capaldi,"I'm going under and this time I fear there's no one to save me
This all or nothing really got a way of driving me crazy
I need somebody to heal
Somebody to know
Somebody to have
Somebody to hold
It's easy to say
But it's never the same
I guess I kinda liked the way you numbed all the pain",Pop
Easy on Me,Adele,"There ain't no gold in this river
That I've been washin' my hands in forever
I know there is hope in these waters
But I can't bring myself to swim
When I am drowning in this silence
Baby, let me in
Go easy on me, baby
I was still a child
Didn't get the chance to
Feel the world around me
I had no time to choose
What I chose to do
So go easy on me",Pop
I Like You,Post Malone ft. Doja Cat,"Yeah, your boyfriend'll never understand me (understand me)
'Cause I'm 'bout to pull this girl like a hammy, hammy (wow)
Let's take a lil' dip, lil' lady
Hit PCH, one-eighty
Hey, I've been thinkin' lately
That I need someone to save me
Now that I'm famous, I got hoes all around me
But I need a good girl, I need someone to ground me",Pop
Sunroof,Nicky Youre & dazy,"I got my head out the sunroof
I'm blasting our favorite tunes
I only got one thing on my mind
You got me stuck on the thought of you
You're making me feel brand new
You're more than the sunshine in my eyes
You got those pretty eyes in your head, you know it
You got me dancing in my bed so let me show it
You are exactly what I want, kinda cool and kinda not
Wanna give myself to you",Pop
Break My Heart,Dua Lipa,"I've always been the one to say the first goodbye
Had to love and lose a hundred million times
Had to get it wrong to know just what I like
Now I'm fallin'
You say my name like I have never heard before
I'm indecisive but this time I know for sure
I hope I'm not the only one that feels it all
Are you fallin'?",Pop
Light Switch,Charlie Puth,"Why you callin' at 11:30
When you only wanna do me dirty?
But I hit right back 'cause you got that, that, yeah
Why you always wanna act like lovers
But you never wanna be each other's?
I say, ""Don't look back"" but I go right back and
All of a sudden, I'm hypnotized
You're the one that I can't deny
Every time that I say I'm gonna walk away",Pop
Good as Hell,Lizzo,"Go on dust your shoulders off, keep it moving
Yes Lord, tryna get some new shit
In there, swimwear, going to the pool shit
Come now, come dry your eyes
You know you a star, you can touch the sky
I know that it's hard but you have to try
If you need advice, let me simplify",Pop
abcdefu,GAYLE,"I swear I meant to mean the best when it ended
Even tried to bite my tongue when you start
Now you're textin' all my friends asking questions
They never even liked you in the first place
Dated a girl that I hate for the attention
She only made it two days, what a connection
It's like you'd do anything for my affection
You're goin' all about it in the worst ways",Pop
Ghost,Justin Bieber,"Youngblood thinks there's always tomorrow
I miss your touch on nights when I'm hollow
I know you crossed a bridge that I can't follow
Since the love that you left is all that I get
I want you to know
That if I can't be close to you
I'll settle for the ghost of you
I miss you more than life (more than life)",Pop
Heat Waves,Glass Animals,"Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now",Pop
Gloria,Sam Smith,"Demons on my shoulder
Monsters in my head
Shadow in the water
Will you be my friend?
The world revolves around me
As I lay in my bed
Dreaming of more, more
Be yourself so loud tonight (mmm, so loud)
They'll hear you from the stars (they will hear you from)
Sparkling like dynamite (sparkle)
If that is who you are (it's who you are)
A hymn for Gloria, Gloria (for Gloria)",Pop
Hold Me Closer,Elton John & Britney Spears,"I saw you dancin' out the ocean
Runnin' fast along the sand
A spirit born of earth and water
Fire flying from your hands (oh)
Hold me closer, tiny dancer
Count the headlights on the highway
Lay me down in sheets of linen
You had a busy day today (oh)",Pop
My Universe,Coldplay & BTS,"You (you), you are (you are) my universe
And I (I) just want (just want) to put you first
And you (you), you are (you are) my universe, and I
In the night, I lie and look up at you
When the morning comes, I watch you rise
There's a paradise they couldn't capture
That bright infinity inside your eyes",Pop
Dynamite,BTS,"Shoes on, get up in the morn'
Cup of milk, let's rock and roll
King Kong, kick the drum
Rolling on like a Rolling Stone
Sing-song when I'm walkin' home
Jump up to the top, LeBron
Ding-dong, call me on my phone
Ice tea and a game of ping pong",Pop
Wildest Dreams (Taylor's Version),Taylor Swift,"He said, ""Let's get out of this town
Drive out of the city, away from the crowds""
I thought Heaven can't help me now
Nothing lasts forever
But this is gonna take me down
He's so tall and handsome as hell
He's so bad, but he does it so well
I can see the end as it begins",Pop
Bad Habits,Ed Sheeran,"Every time you come around, you know I can't say no
Every time the sun goes down, I let you take control
I can feel the paradise before my world implodes
And tonight had something wonderful
My bad habits lead to late nights endin' alone
Conversations with a stranger I barely know
Swearin' this will be the last, but it probably won't
I got nothin' left to lose, or use, or do",Pop
Running Up That Hill,Kate Bush,"It's you and me
It's you and me
Won't be unhappy
And if I only could
I'd make a deal with God
And I'd get Him to swap our places
Be runnin' up that road
Be runnin' up that hill
Be runnin' up that building (yo)
Say, if I only could, oh",Pop
Numb,Marshmello & Khalid,"When it get numb, go crazy
Wanna wild out 'cause lately, life's so short, but amazin'
Late night party in the basement
Hotel lobby and I'm wasted
Two suites, end of my savings
I'll do it too if you take it
Yeah, life is only what you make it
I, I wanna get numb
And forget where I'm from
'Cause lookin' in your eyes is like lookin' at the sun
I feel like you're the moon
I feel like I'm the one
I wanna get numb, numb, numb, numb",Pop
Left and Right,Charlie Puth ft. Jungkook,"Memories follow me left and right
I can feel you over here, I can feel you over here
You take up every corner of my mind (what you gon' do now?)
Ever since the d-day y-you went away (no, I don't know how)
How to erase your body from out my brain (what you gon' do now?)
Maybe I should just focus on me instead (but all I think about)
Are the nights we were tangled up in your bed",Pop
Boyfriend,Dove Cameron,"The universe must have divined this
What am I gonna do? Not grab your wrist?
I could be a better boyfriend than him
I could do the shit that he never did
Up all night, I won't quit
Thinking I'm gonna steal you from him
I could be such a gentleman
Plus all my clothes would fit
I could be a better boyfriend",Pop
Bam Bam,Camila Cabello ft. Ed Sheeran,"You said you hated the ocean, but you're surfin' now
I said I'd love you for life, but I just sold our house
We were kids at the start, I guess we're grown-ups now, mm
Couldn't ever imagine even havin' doubts
But not everything works out, no
Now I'm out dancin' with strangers
You could be casually datin'
Damn, it's all changin' so fast",Pop
Break My Soul,Beyoncé,"Now, I just fell in love
And I just quit my job
I'm gonna find new drive
Damn, they work me so damn hard
Work by nine, then off past five
And they work my nerves
That's why I cannot sleep at night
I'm lookin' for motivation
I'm lookin' for a new foundation, yeah
And I'm on that new vibration
I'm buildin' my own foundation, yeah
Hold up, oh, baby, baby",Pop
Glimpse of Us,Joji,"She'd take the world off my shoulders if it was ever hard to move
She'd turn the rain to a rainbow when I was living in the blue
Why then, if she's so perfect, do I still wish that it was you?
Perfect don't mean that it's working, so what can I do? (Ooh)
When you're out of sight in my mind
'Cause sometimes I look in her eyes, and that's where I find a glimpse of us
And I try to fall for her touch, but I'm thinking of the way it was",Pop
Moth to a Flame,Swedish House Mafia & The Weeknd,"Like a moth to a flame
I'll pull you in, I'll pull you back to what you need initially
It's just one call away
And you'll leave him, you're loyal to me
But this time I let you be
'Cause he seems like he's good for you
And he makes you feel like you should
And all your friends say he's the one
His love for you is true",Pop
The Middle,"Zedd, Maren Morris, Grey","Take a seat right over there, sat on the stairs
Stay or leave, the cabinets are bare and I'm unaware
Of just how we got into this mess, got so aggressive
I know we meant all good intentions
So pull me closer
Why don't you pull me close?
Why don't you come on over?
I can't just let you go",Pop
Levitating,Dua Lipa,"If you wanna run away with me, I know a galaxy
And I can take you for a ride
I had a premonition that we fell into a rhythm
Where the music don't stop for life
Glitter in the sky, glitter in my eyes
Shining just the way I like
If you're feeling like you need a little bit of company
You met me at the perfect time",Pop
Tennessee Whiskey,Chris Stapleton,"Used to spend my nights out in a barroom
Liquor was the only love I'd known
But you rescued me from reachin' for the bottom
And brought me back from being too far gone
You're as smooth as Tennessee whiskey
You're as sweet as strawberry wine
You're as warm as a glass of brandy
And honey, I stay stoned on your love all the time",Country
Beer Never Broke My Heart,Luke Combs,"Longneck ice cold beer never broke my heart
Like diamond rings and football teams have torn this boy apart
Like a neon dream, it just dawned on me, that bars and this guitar
And longneck ice cold beer never broke my heart
She was a Carolina blue jean baby
Fire in her eyes that drove me crazy
It was red tail lights when she left town
If I didn't know then, I sure know now",Country
Buy Dirt,Jordan Davis ft. Luke Bryan,"A few days 'fore he turned eighty
He was sitting out back in a rocker
He said, ""What you been up to lately?""
I told him, ""Chasing a dollar""
And in between sips of coffee
He poured this wisdom out
Said, ""If you want my two cents on making a dollar count",Country
Fancy Like,Walker Hayes,"My girl is bangin', she's so low maintenance
Don't need no champagne-poppin' entertainment
Take her to Wendy's, can't keep her off me
She wanna dip me like them fries in her Frosty
But every now and then, when I get paid
I gotta spoil my baby with an upgrade (yeah)
Ay, ay, ay",Country
The Kind of Love We Make,Luke Combs,"We've been burnin' both ends
Keepin' the lights on
So I've been thinkin' we need
A little time alone
So whatcha say we cancel our plans?
Tonight, I'm only gonna be your man
Let's get some candles burnin'
And some records turnin'
All the lights down low
Take it nice and slow",Country
Whiskey Glasses,Morgan Wallen,"Poor me, pour me another drink
'Cause I don't wanna feel a thing
No more, hell nah
I just wanna sip 'til the pain wears off
Poor me, pour me another round
Line 'em up and knock 'em down
Two more let's go
'Cause I ain't never hurt like this before",Country
Forever After All,Luke Combs,"A cold beer's got twelve ounces
A good truck's got maybe three hundred thousand
You only get so much until it's gone
Duracells in a Maglite
A needle drop on a forty-five
Are the kinda things that only last so long
When the new wears off and they get to getting old
Sooner or later, time's gonna take its toll",Country
Sand in My Boots,Morgan Wallen,"She asked me where I was from
I said ""Somewhere you never been to""
Little town outside of Knoxville
Hidden by some dogwood trees
She tried talkin' with my accent
We held hands and waded into
That blue water
She left her flip-flops by my Red Wings on the beach",Country
Made for You,Jake Owen,"Water towers are made for hearts and names
Friday nights are made for football games
Fallin' leaves are made for fallin' in
Front porch steps are made for goodnight kissin'
And I was made for you, yeah I was made for you
Summer jobs are made for spendin' cash
Second dates are made for goin' fast
Early curfews are made for sneakin' past",Country
Take My Name,Parmalee,"Take my hand, let me make you mine
I'm through waiting, taking my time
Never felt like this before
Take my name and make it yours
I hope you don't think it's a little bit crazy
Saying this all so soon
But baby, it's the right time, knew it from the first time
That I laid eyes on you
It's okay, let 'em say what they want",Country
What Ifs,Kane Brown ft. Lauren Alaina,"You say what if I hurt you
What if I leave you
What if I find somebody else
And I don't need you
What if this goes south
What if I mess you up
You say what if I break your heart
In two then what
Well I hear you girl
I feel you girl but not so fast
Before you make your mind up
I gotta ask",Country
One Thing Right,Marshmello & Kane Brown,"I've cheated and I've lied
I've broke down and I've cried
I've got nothing to hide no more
I've loved and I've hurt
I've broken people down with words
More grace than I deserve, for sure
Known to be crazy, known to be wild
Mama had herself a little devilish child
Ain't no stranger to the troubles at my door (at my door)",Country
Somebody Like That,Tenille Arts,"ve seen pick up lines and dive bar strangers slow dance
I've seen happy hour two-for-ones turn to one night stands
I've seen neon rebounds
And late night drunk dials
I've seen that Cinderella fairytale go up in cigarette smoke
I've seen two hearts bet it all and still end up broke
The real thing won't be easy
Yeah, it might take a while",Country
Tequila,Dan + Shay,"I can still shut down a party
I can hang with anybody
I can drink whiskey and red wine
Champagne all night
Little Scotch on the rocks and I'm fine, I'm fine
But when I taste tequila
Baby, I still see ya
Cuttin' up the floor in a sorority T-shirt
The same one you wore ",Country
"10,000 Hours",Dan + Shay & Justin Bieber,"Do you love the rain, does it make you dance
When you're drunk with your friends at a party?
What's your favorite song, does it make you smile?
Do you think of me?
When you close your eyes
Tell me, what are you dreamin'?
Everything, I wanna know it all
I'd spend 10, 000 hours and 10, 000 more
Oh, if that's what it takes to learn that sweet heart of yours",Country
Doin' This,Luke Combs,"Someone asked me once in an interview
""What was growing up like, where'd you go to school?
And what would you do if you weren't doin' this?""
I'd be drivin' my first car, an old worn-out Dodge
Tryin' to make rent with a dead end job, just makin' due
With tips in a jar, my guitar and an old barstool
I'd have a Friday night crowd in the palm of my hand",Country
